,net_amount
355,2330910.1933093593
356,1720666.5338677391
357,2628809.896109998
358,3121606.0432293415
359,1887036.6586306468
360,2407114.299610615
361,2695696.1662796736
362,2738166.787449479
363,3520768.6940393075
364,133777.8497917652
365,572611.3094809055
366,1476727.3000359312
367,1421624.9716536775
368,1054385.639128983
369,989402.287431512
370,1109800.2094386816
371,1019277.2001792192
372,930523.1925975997
373,944102.8311056495
374,1449465.6828425713
375,965754.8022912145
376,1468469.9579266906
377,1651245.624888122
378,1647294.054054439
379,1954930.8130879402
380,1404258.3463265821
381,599030.3102071285
382,1111097.4719697833
383,1398026.2228273302
384,1466070.216526568
385,1340075.8575651627
386,782635.9789699912
387,1032978.6279031038
388,895882.3397427201
389,948846.0792848766
390,2099655.483160857
391,2123732.219836235
392,814973.6294679046
393,867130.6694269776
394,962971.199441433
395,1076919.1483853012
396,1196029.8298861384
397,0.0
398,498426.5693843961
399,840397.3780025244
400,874034.9181471411
401,974452.9193711765
402,1906624.6791850924
403,1898808.110007517
404,1872540.4589805603
405,4402657.781254292
406,4715148.641727146
407,3485261.439364016
408,2037775.1779260635
409,2421337.927649975
410,2055375.3304163218
411,4061759.73295033
412,2135908.958564222
413,2250207.668895006
414,152458.9296617508
415,4316564.275102317
416,1061193.7285387516
417,958097.4967606068
418,1440472.4513100982
419,1474818.6274737716
420,1173038.5010552313
421,993321.9689673185
422,1162899.1261422634
423,929601.8378255963
424,1050195.7278206348
425,502211.93888007104
426,1607038.0817835927
427,551652.656629324
428,12080.0
429,13269.040008544922
430,29176.14999818802
431,402429.6782734394
432,143340.48066973686
433,394208.9992786646
434,683755.4266543686
435,425633.6787231136
436,375204.4190353155
437,1032842.5420919657
438,1405232.474327743
439,1484292.9123817459
440,1371431.868392339
441,1049916.3689993024
442,1189528.610759914
443,1385217.227749586
444,1492677.5109661818
445,1305057.0904134512
446,702130.9298656583
447,896157.7496746927
448,1127020.4588879347
449,468754.87920600176
450,507326.7999113295
451,514154.999081254
452,906875.339359343
453,955387.6786422133
454,1757255.5882991552
455,3875635.083961606
456,3095380.370920159
457,3412224.7394245267
458,2229821.1053950824
459,1402617.5548565388
460,1152822.9626049697
461,1191362.2706272006
462,2349289.9297299385
463,1892641.0008752495
464,1387132.620140493
465,1842508.9609124213
466,1943592.841704905
467,2869623.1118031144
468,1827144.1194750816
469,259823.90993261337
470,1130981.1884506345
471,2198117.444875598
472,1375420.0883421004
473,677758.0885521173
474,1155314.2572857141
475,906398.5387752652
476,719429.5187029243
477,673063.8187408969
478,1001926.0101143792
479,1127962.1783701628
480,1660517.1359469146
481,1173526.4458879195
482,1296472.7230781317
483,767828.6075122356
484,1298749.4668933097
485,463389.86916571856
